yr,mo,dy,date,st,mag,inj,fat,slat,slon,elat,elon,len,wid
1950,6,13,13/06/1950,NE,2,101,0,42.6,-97.88,42.65,-97.82,4.1,10
1950,6,14,14/06/1950,ND,3,0,0,48.92,-103.77,48.78,-103.28,23.7,10
1950,6,14,14/06/1950,WY,1,0,0,44.13,-104.18,0,0,0.2,10
1950,6,15,15/06/1950,IA,3,5,0,41.98,-93.6,41.97,-93.48,5.6,300
1950,6,15,15/06/1950,MN,2,4,0,46.58,-96.33,46.52,-96.33,4.6,67
1950,6,15,15/06/1950,MO,1,0,0,39.7,-92.07,0,0,0.2,100
1950,6,16,16/06/1950,KS,1,0,0,38.28,-101.28,38.7,-101.13,29.9,10
1950,6,19,19/06/1950,TX,0,0,0,36.08,-102.53,36.08,-102.25,15.8,167
1950,6,22,22/06/1950,NE,0,0,0,40.18,-98.03,40.2,-97.98,1.9,10
1950,6,25,25/06/1950,KS,0,0,0,37.77,-97.47,0,0,0.1,10
1950,6,25,25/06/1950,KS,0,0,0,39.5,-99.62,0,0,0.1,10
1950,6,25,25/06/1950,WI,1,0,0,45.42,-91,0,0,0.5,10
1950,6,25,25/06/1950,WI,2,0,0,45.57,-90.3,45.57,-90.12,8.4,10
1950,6,25,25/06/1950,WI,2,0,1,44.83,-90.35,44.97,-90.28,7.8,17
1950,6,25,25/06/1950,WI,3,0,0,43.95,-88.95,43.97,-88.93,0.1,300
1950,6,25,25/06/1950,WI,4,12,2,45.58,-89.58,45.67,-89.33,13.1,880
1950,7,1,01/07/1950,IA,2,0,0,42.45,-91.92,0,0,14,10
1950,7,1,01/07/1950,KS,1,1,0,39.3,-96.92,0,0,0.1,10
1950,7,1,01/07/1950,KS,2,0,0,38.7,-97.08,0,0,0.1,10
1950,7,2,02/07/1950,KS,2,0,0,38.47,-100.88,0,0,1,90
1950,7,3,03/07/1950,IN,0,0,0,41.65,-86.3,0,0,0.1,10
1950,7,5,05/07/1950,PA,2,2,0,40.58,-75.7,40.65,-75.47,12.9,10
1950,7,5,05/07/1950,PA,2,0,0,40.6,-76.75,0,0,0.1,13
1950,7,8,08/07/1950,KS,1,0,0,39.82,-96.8,0,0,1,90
1950,7,11,11/07/1950,NM,1,0,0,35.28,-103.52,35.33,-103.48,3.8,500
1950,7,12,12/07/1950,CT,2,0,0,41.57,-72.57,0,0,10,10
1950,7,14,14/07/1950,CT,2,3,0,41.27,-73.5,0,0,5,100
1950,7,15,15/07/1950,NE,4,33,0,41.8,-96.6,41.73,-96.42,10,440
1950,7,16,16/07/1950,IL,1,0,0,41.08,-88.43,0,0,1,33
1950,7,18,18/07/1950,KS,1,0,0,37.68,-95.52,0,0,0.1,10
1950,7,19,19/07/1950,IN,1,0,0,40.22,-87.15,40.18,-87.07,4.3,200
1950,7,19,19/07/1950,IN,2,0,0,41.07,-85.08,41.08,-85.08,1.1,100
1950,7,19,19/07/1950,MO,1,0,0,38.42,-92.77,0,0,1.5,440
1950,7,19,19/07/1950,OH,2,0,0,40.8,-84.62,40.82,-84.58,0.1,200
1950,7,19,19/07/1950,OH,3,30,0,40.72,-84.08,40.83,-83.97,9.7,300
1950,7,22,22/07/1950,CO,0,0,0,40.52,-104.57,0,0,0.1,10
1950,7,24,24/07/1950,PA,0,0,0,41.63,-79.68,0,0,0.1,10
1950,7,26,26/07/1950,NC,1,0,0,35.53,-77.4,0,0,0.1,10
1950,7,27,27/07/1950,NC,1,0,0,35.4,-80.57,0,0,0.1,10
1950,8,2,02/08/1950,NM,1,0,0,34.12,-107.23,34.02,-107.3,7.9,100
1950,8,5,05/08/1950,CO,2,1,0,40.73,-102.55,40.68,-102.47,0.1,10
1950,8,6,06/08/1950,KS,1,0,0,39.93,-101,0,0,0.1,10
1950,8,6,06/08/1950,KS,2,0,0,37.97,-100.77,0,0,0.1,10
1950,8,6,06/08/1950,KS,2,0,0,39.13,-100.63,39.12,-100.47,8.7,10
1950,8,8,08/08/1950,MO,1,0,0,37.13,-93.38,0,0,2,10
1950,8,9,09/08/1950,WV,1,0,0,39.28,-81.38,0,0,5,10
1950,8,11,11/08/1950,MD,1,0,0,39.33,-75.87,0,0,6,10
1950,8,24,24/08/1950,AR,2,7,0,34.4,-91.43,34.43,-91.38,3.6,200
1950,8,28,28/08/1950,KS,1,0,0,37.47,-100.82,37.42,-100.7,7.2,10
1950,8,29,29/08/1950,PA,1,0,0,40.22,-75,0,0,1,10
1950,8,30,30/08/1950,FL,1,0,0,29.73,-84.98,0,0,0.5,50
1950,8,31,31/08/1950,FL,0,0,0,30.8,-85.2,0,0,0.1,10
1950,9,15,15/09/1950,OK,2,6,0,35,-96.25,35.07,-96.17,6.8,100
1950,9,16,16/09/1950,OK,0,0,0,34.83,-95.85,0,0,0.1,10
1950,9,21,21/09/1950,NE,1,0,0,40.72,-96.82,40.72,-96.38,22.5,67
1950,10,1,01/10/1950,OK,1,0,0,36.73,-102.52,36.88,-102.3,15.8,10
1950,10,9,09/10/1950,NC,3,3,0,34.17,-78.6,0,0,2,880
1950,11,4,04/11/1950,PA,3,1,0,40.2,-76.12,40.4,-75.93,15.9,100
1950,11,20,20/11/1950,KY,1,0,0,38.2,-84.5,0,0,0.1,10
1950,11,20,20/11/1950,KY,2,0,0,37.37,-87.2,0,0,0.1,10
1950,11,20,20/11/1950,MS,1,3,0,32.42,-89.13,0,0,2,37
1950,12,2,02/12/1950,AR,3,0,0,36.12,-91.83,36.18,-91.72,7.8,10
1950,12,2,02/12/1950,IL,1,0,0,38.17,-89.78,38.22,-89.62,9.6,50
1950,12,2,02/12/1950,IL,2,3,1,38.97,-90.05,39.07,-89.72,18.8,50
1950,12,2,02/12/1950,IL,3,25,2,38.75,-89.67,38.9,-89.38,18,200
1951,1,6,06/01/1951,LA,3,11,0,31.3,-92.47,31.53,-92.4,16.8,317
1951,1,11,11/01/1951,CA,2,0,0,37.37,-122.12,37.42,-122.03,5.7,10
1951,2,1,01/02/1951,VA,1,0,0,37.37,-78.78,0,0,0.1,50
1951,2,6,06/02/1951,LA,1,0,0,30.5,-92,0,0,0.5,33
1951,2,6,06/02/1951,LA,1,0,0,30.48,-90.42,30.53,-90.37,4.9,33
1951,2,19,19/02/1951,OK,0,0,0,35.15,-97.45,0,0,0.1,100
1951,2,19,19/02/1951,OK,2,5,0,35.27,-98.18,35.83,-97.83,43.9,20
1951,2,20,20/02/1951,AL,2,2,0,33.67,-87.7,0,0,0.1,123
1951,2,20,20/02/1951,AR,2,3,0,34.6,-92.02,35.55,-90.4,112.8,333
1951,2,20,20/02/1951,KY,2,0,0,38.27,-85.05,0,0,0.1,73
1951,2,20,20/02/1951,MS,1,0,0,33.47,-88.48,0,0,0.1,10
1951,2,20,20/02/1951,MS,3,1,1,33.45,-88.87,0,0,0.1,10
1951,3,2,02/03/1951,KS,0,0,0,39.83,-95.72,0,0,0.1,10
1951,3,2,02/03/1951,KS,3,0,0,39.43,-98.55,39.6,-97.87,38.1,10
1951,3,12,12/03/1951,FL,2,0,0,27.1,-82.48,0,0,2,77
1951,3,28,28/03/1951,TX,1,0,0,31.37,-95.6,0,0,0.5,17
1951,3,29,29/03/1951,IN,2,2,0,39.78,-85.77,39.82,-85.72,3,400
1951,3,30,30/03/1951,PA,1,0,0,39.83,-77.23,0,0,0.1,20
1951,4,5,05/04/1951,OK,2,0,0,35.32,-97.55,35.37,-97.47,5.7,127
1951,4,5,05/04/1951,OK,2,2,0,35.23,-97.72,0,0,0.2,100
1951,4,5,05/04/1951,OK,2,2,0,36.53,-98.92,36.57,-98.87,3.6,33
1951,4,20,20/04/1951,KS,0,0,0,37.12,-101.77,0,0,0.1,10
1951,4,20,20/04/1951,TX,2,0,0,33.92,-98.45,0,0,1.5,17
